[00:01.220 --> 00:04.000]  Reliable controls, Thomas speaking.
[01:18:18.140 --> 01:18:20.520]  Just keep pushing it.
[01:18:21.520 --> 01:18:22.500]  I'm just waiting to get through.
[01:18:25.220 --> 01:18:29.080]  With FTP, there's different ways to do security. In our
[01:18:29.080 --> 01:18:32.980]  case, we do it in like a time rotation type thing. So, you
[01:18:32.980 --> 01:18:36.840]  get a key, and it's good for like 3 seconds, and then it's invalid.
[01:18:37.300 --> 01:18:40.560]  So, if it takes too long to complete the whole FTP thing, it just fails.
[01:18:42.580 --> 01:18:43.700]  All the time.
[01:18:46.280 --> 01:18:48.620]  So, I see no passport retrying, and then it retries,
[01:18:48.880 --> 01:18:50.840]  and then it announces found a found.
[01:18:53.120 --> 01:18:57.020]  Sounds like it failed to load for the end user on site as well.
[01:18:58.540 --> 01:18:59.480]  Did they just call you?
[01:19:01.220 --> 01:19:03.360]  Yeah, he just messaged me.
[01:19:06.550 --> 01:19:10.430]  Well, it's definitely going to fail while we're trying to send things to it, so that's not really
[01:19:10.430 --> 01:19:10.890]  surprising.
[01:19:15.110 --> 01:19:17.310]  Come on, send it.
[01:19:18.850 --> 01:19:22.550]  Taking so long to do a lot of the sending, I think that's the problem here.
[01:19:32.400 --> 01:19:34.540]  I don't know why the passport is being a
[01:19:34.540 --> 01:19:37.140]  problem. Do they only allow like one passport or something?
[01:19:38.680 --> 01:19:41.560]  That would be weird, but I could see that happening.
[01:19:43.740 --> 01:19:46.440]  So, if they allowed 3000, then that's it.
[01:19:47.320 --> 01:19:50.080]  That would explain almost all of our problems.
[01:19:57.780 --> 01:19:59.160]  Unknown error? Oh, that's different.
[01:20:16.590 --> 01:20:19.050]  I'm going to have to reload descriptors, is that the problem here?
[01:20:21.710 --> 01:20:23.630]  Ah, alright, let's go by.
[01:20:24.850 --> 01:20:28.690]  Reconnect. If this doesn't work, we can switch to version 7
[01:20:28.690 --> 01:20:32.450]  or version 8 again, and you'll have to put in the password
[01:20:32.450 --> 01:20:32.910]  thing.
[01:20:32.910 --> 01:20:36.910]  Oh, it should just be long, do you know?
[01:20:39.090 --> 01:20:40.770]  Whatever is on the panel file.
[01:20:42.630 --> 01:20:43.570]  There we go.
[01:20:50.920 --> 01:20:51.960]  Okie dokie.
[01:20:54.750 --> 01:20:56.150]  Try this again.
[01:21:11.100 --> 01:21:12.220]  Really weird behavior.
[01:21:13.000 --> 01:21:16.720]  Well, if you want to send anything to it, it looks like it's going to
[01:21:16.720 --> 01:21:18.700]  have to be backnet. That's the answer.
[01:21:20.780 --> 01:21:24.380]  So, do you want to go to site? Do you want to switch to version 8?
[01:21:27.340 --> 01:21:28.820]  Well, I'm all for going to
[01:21:28.820 --> 01:21:33.040]  version 8 as long as everything still works and we can leave it that way.
[01:21:33.480 --> 01:21:34.660]  I don't know one way to find out.
[01:21:37.220 --> 01:21:40.140]  How well does it talk to mock stats?
[01:21:41.480 --> 01:21:43.680]  That way. Should I?
[01:21:43.680 --> 01:21:47.760]  It'll talk. The problem is the other direction. That's the problem.
[01:21:48.540 --> 01:21:51.760]  The mock stats will probably have issues talking
[01:21:51.760 --> 01:21:55.680]  to the controller, because if you try to write the programming in
[01:21:56.360 --> 01:21:59.800]  backnet, it will straight up not process
[01:21:59.800 --> 01:22:03.980]  the control basic, because it doesn't know what backnet is
[01:22:03.980 --> 01:22:07.840]  inside of the programming. There is a translation that happens on
[01:22:07.840 --> 01:22:11.920]  the network side, sure, but no, it doesn't know what the backnet actually
[01:22:11.920 --> 01:22:16.300]  is in the control basic. So any backnet stuff probably has to be written
[01:22:16.300 --> 01:22:20.340]  and read from the host controller. Not a huge deal.
[01:22:22.040 --> 01:22:24.000]  Depending on how much reading and writing you're
[01:22:24.000 --> 01:22:26.360]  doing, but yeah, not a huge deal.
[01:22:32.210 --> 01:22:40.920]  Another case of what's faster.
[01:22:42.340 --> 01:22:43.460]  Another case of what's faster.
[01:22:45.280 --> 01:22:45.500]  Another case of what's faster.
[01:22:47.720 --> 01:22:50.500]  I had it restored with errors. Okay, well apparently
[01:22:50.500 --> 01:22:56.040]  didn't like the data in there in the first place, so it is
[01:22:56.040 --> 01:22:57.020]  what it is.
[01:22:59.660 --> 01:23:04.080]  Is there a backup for the MPW file? Yep, there is, but I didn't like it.
[01:23:26.410 --> 01:23:27.850]  There we are.
[01:23:34.800 --> 01:23:37.780]  Hooray! We got the pro web users.
[01:23:40.620 --> 01:23:42.240]  So it's complaining because it doesn't have
[01:23:43.180 --> 01:23:46.900]  any system groups, particularly system groups on panel one,
[01:23:47.060 --> 01:23:51.700]  group one, which doesn't exist anymore. Now it's 1,000, group one.
[01:23:52.880 --> 01:23:54.040]  Panel file utility time.
[01:24:01.540 --> 01:24:03.320]  Also, Thomas, do you want to
[01:24:03.320 --> 01:24:05.000]  keep running with this or do you want me to run with it?
[01:24:07.180 --> 01:24:11.320]  Oh, there's another guy that I should probably get a hold of.
[01:24:12.040 --> 01:24:15.240]  He's probably losing his mind right now. He's like, I broke something! It's on
[01:24:15.240 --> 01:24:15.500]  the fire!
[01:24:19.360 --> 01:24:23.320]  I mean, I don't want to be an ass, but can we just go to site
[01:24:23.320 --> 01:24:27.380]  and update it? No, we're already this far.
[01:24:28.080 --> 01:24:31.320]  Oh, you're so deep in. Okay, well, do you want to
[01:24:31.320 --> 01:24:33.180]  save with this one then and not drop out?
[01:24:34.880 --> 01:24:36.640]  Sure, I guess.
[01:24:39.220 --> 01:24:39.700]  Liam?
[01:24:40.780 --> 01:24:44.140]  What? I don't know.
[01:24:44.240 --> 01:24:45.300]  Deep in.
[01:24:47.360 --> 01:24:50.820]  Alright. This is the fun part.
[01:24:50.840 --> 01:24:52.920]  I'm going to drop out.
[01:24:54.780 --> 01:24:58.900]  The good news is this is all straightforward of 2,000, 3,000, 4,000.
[01:24:59.720 --> 01:25:02.260]  Yeah, it's pretty straightforward.
[01:25:22.520 --> 01:25:24.600]  95? That seems like a mistake.
[01:25:26.020 --> 01:25:28.040]  I think it is a mistake.
[01:25:30.720 --> 01:25:31.720]  There's no 95.
[01:25:33.080 --> 01:25:36.060]  You can just make up whatever you want. I'll just do that.
[01:25:37.380 --> 01:25:40.740]  Now, for these ins and outs, guess what we'll have
[01:25:40.740 --> 01:25:44.080]  to do is either pull up... is it reference details?
[01:25:45.140 --> 01:25:50.050]  Tell me. Oh, what screen is that in?
[01:25:53.650 --> 01:25:54.150]  Well,
[01:25:54.150 --> 01:25:58.090]  that doesn't really help me either. Alright, what we can do
[01:25:58.090 --> 01:26:00.110]  is over in Studio Land
[01:26:01.690 --> 01:26:06.470]  and just read the inputs. And those are both
[01:26:06.470 --> 01:26:09.970]  analog. So, EI1
[01:26:11.670 --> 01:26:13.910]  and that should be the same for all of them, right?
[01:26:15.390 --> 01:26:17.610]  It should be, yeah.
[01:26:22.110 --> 01:26:23.250]  Makes things easy.
[01:26:23.250 --> 01:26:32.300]  Da, da, da, da, da.
[01:26:42.090 --> 01:26:42.390]  Oh,
[01:26:42.770 --> 01:26:45.250]  weekly schedule. That's just schedule, eh?
[01:27:16.180 --> 01:27:17.640]  Alright, did I get the other schedules?
[01:27:18.500 --> 01:27:19.800]  Gotta get that one.
[01:27:21.700 --> 01:27:22.680]  That one.
[01:27:25.720 --> 01:27:28.320]  Alright, outputs are next.
[01:27:37.040 --> 01:27:38.860]  Okay, so real straightforward.
[01:27:39.720 --> 01:27:40.640]  Yep, exactly.
[01:27:46.340 --> 01:27:47.780]  That's not what I wanted.
[01:28:08.930 --> 01:28:10.590]  I sure wish it was autofilled.
[01:28:10.910 --> 01:28:14.790]  That would be nice. Actually, I would like it even more
[01:28:14.790 --> 01:28:19.150]  if I could just be like, oh, hey, I have the panel file for these things. Why don't you
[01:28:19.150 --> 01:28:21.130]  just read that and now you know.
[01:28:22.330 --> 01:28:24.990]  That would be even better.
[01:28:32.690 --> 01:28:34.770]  Alright, now it's just the variables.
[01:28:37.290 --> 01:28:38.410]  They all have variables?
[01:28:38.790 --> 01:28:41.450]  Yeah, looks like they do. Alright.
[01:28:49.780 --> 01:28:52.660]  Okay, so it's analog and then binary.
[01:28:59.890 --> 01:29:02.030]  Four, maybe
[01:29:02.030 --> 01:29:04.190]  five, maybe six.
[01:29:06.550 --> 01:29:08.330]  Maybe one, maybe
[01:29:08.330 --> 01:29:11.530]  two, maybe three, maybe four,
[01:29:12.230 --> 01:29:15.130]  maybe five, maybe six.
[01:29:16.570 --> 01:29:20.110]  Maybe one, maybe, oh,
[01:29:20.810 --> 01:29:23.610]  maybe four, five,
[01:29:24.450 --> 01:29:35.590]  maybe six. I'm gonna double check
[01:29:35.590 --> 01:29:37.710]  that those ones actually are in fact.
[01:29:38.970 --> 01:29:41.010]  I'm gonna number five.
[01:29:54.850 --> 01:29:56.250]  You don't do this a whole lot, eh?
[01:29:57.810 --> 01:30:06.020]  Not a whole lot if I can help it. If I have to do it,
[01:30:07.060 --> 01:30:10.180]  if I had to do this more than
[01:30:10.180 --> 01:30:13.760]  three times, I would have already written something like a
[01:30:14.340 --> 01:30:18.440]  macro type thing that would just kind of go through and spit it all out or something.
[01:30:19.200 --> 01:30:20.540]  Based on an excel sheet.
[01:30:23.680 --> 01:30:25.800]  What am I doing?
[01:30:27.320 --> 01:30:28.940]  Maybe one, maybe
[01:30:28.940 --> 01:30:32.760]  four, maybe five, maybe six.
[01:30:33.780 --> 01:30:36.560]  Alright. If this crashes now, I'm gonna be so mad.
[01:30:38.700 --> 01:30:39.700]  That's the worst.
[01:30:41.000 --> 01:30:43.060]  Do all the stuff and it's like, ah, I'm dead.
[01:30:47.780 --> 01:30:48.200]  Alright.
[01:30:50.760 --> 01:30:51.320]  Studio.
[01:31:13.050 --> 01:31:58.180]  There we go. That was kind of funny.
[01:32:01.640 --> 01:32:03.880]  I said earlier and it just like kind of froze.
[01:32:04.480 --> 01:32:07.620]  Now I'm doing it and it's like, oh yeah, there's all the stuff.
[01:32:08.840 --> 01:32:11.380]  I could just select things like that.
[01:32:31.590 --> 01:32:41.180]  Alright. So the trickier thing
[01:32:41.180 --> 01:32:45.300]  is correcting all of the links. Cause the links to
[01:32:45.300 --> 01:32:47.980]  the other stuff is gonna be a little bit wrong.
[01:33:08.890 --> 01:33:11.990]  Alright. So now, you've got a login, right?
[01:33:13.970 --> 01:33:16.990]  I think so. I can try it.
[01:33:35.180 --> 01:33:36.700]  Everything looks good so far.
[01:33:37.680 --> 01:33:40.280]  So, all these links are probably completely broken.
[01:33:43.400 --> 01:33:43.440]  Yeah.
[01:33:45.580 --> 01:33:49.400]  Oh. I can fix that as long as...
[01:33:49.400 --> 01:33:52.800]  Look at that. Nope. But actually, so as long as it's not going to like
[01:33:52.800 --> 01:33:55.040]  three, actually that still might work.
[01:33:56.400 --> 01:34:00.820]  Look at that. So those guys will probably
[01:34:00.820 --> 01:34:03.940]  work. But anything that's local, oh no, local should work too.
[01:34:03.940 --> 01:34:08.080]  Yeah. Most of the stuff should work. As long as it's not going between, from here
[01:34:08.080 --> 01:34:11.820]  back to the home page. Then we're gonna be having a problem. Yeah.
[01:34:11.820 --> 01:34:15.900]  You see that one right there? So you're gonna have to fix all the ones that go back to the
[01:34:15.900 --> 01:34:18.760]  home page. Those will have to be 1000.
[01:34:19.920 --> 01:34:23.360]  This will probably just kind of sit there and spin. But
[01:34:23.360 --> 01:34:26.240]  seems to be working. So, hooray.
[01:34:27.880 --> 01:34:30.840]  So, do you want to leave it like this or do you want to switch it all back?
[01:34:35.420 --> 01:34:35.900]  Well,
[01:34:36.960 --> 01:34:40.020]  yeah, I'd like to leave it like this. But I don't know if there's anything
[01:34:40.020 --> 01:34:43.640]  else that doesn't work between the version 8 controller
[01:34:43.640 --> 01:34:47.600]  and version 6 mock stat. The only thing
[01:34:47.600 --> 01:34:51.840]  else to worry about, and luckily all of the mock stats seem to be the exact
[01:34:51.840 --> 01:34:55.860]  same as far as the panel file is concerned. We can just take a look at the
[01:34:55.860 --> 01:34:59.120]  programs and see how they're trying to communicate with the host.
[01:34:59.120 --> 01:35:03.320]  Anytime they're trying to do a read or write to the host, do it
[01:35:03.320 --> 01:35:07.180]  from the host instead and that should fix it. If that makes
[01:35:07.180 --> 01:35:11.100]  sense. Yeah, I'm not exactly sure what you mean. Okay, so if
[01:35:11.100 --> 01:35:15.440]  2000 is trying to... you have a program in 2000 trying to access panel
[01:35:15.440 --> 01:35:19.160]  one. Well, you can't do 1000 because that's back that
[01:35:19.160 --> 01:35:23.420]  it's an RCP device. Even though it can respond to back that request,
[01:35:23.740 --> 01:35:27.580]  its programming is still RCP. So,
[01:35:28.580 --> 01:35:31.700]  we'll just take a look. Looks fine. What's
[01:35:31.700 --> 01:35:35.300]  the way around it then? Well, it's running the other way. So,
[01:35:35.300 --> 01:35:36.660]  1000 pushing down.
[01:35:40.060 --> 01:35:42.880]  So, like you see how it says two var. If this is one var,
[01:35:44.080 --> 01:35:45.360]  yeah, we have a problem.
[01:35:47.540 --> 01:35:49.800]  Oh, that's not what I wanted to do. Oh, my goodness.
[01:35:53.100 --> 01:35:54.520]  Pneumonic, that's it.
[01:35:56.000 --> 01:35:56.460]  Yeah.
[01:35:58.240 --> 01:36:00.540]  So, what I have to put the program on? No, this one right here.
[01:36:01.960 --> 01:36:06.500]  So, this is not going to work right here. It'll never
[01:36:06.500 --> 01:36:10.480]  succeed. So, all you have to do is for
[01:36:10.480 --> 01:36:14.200]  each of these guys, you'll just need to add one variable
[01:36:14.200 --> 01:36:18.660]  that you can represent for var 7 and just do a swap out.
[01:36:20.840 --> 01:36:21.300]  So,
[01:36:23.160 --> 01:36:25.060]  let's see our variables.
[01:36:31.960 --> 01:36:34.700]  Oh, there's a number 7 right there. It doesn't look like anything is using it.
[01:36:36.320 --> 01:36:37.540]  What do they say?
[01:36:42.320 --> 01:36:42.640]  Okay,
[01:36:42.740 --> 01:36:49.080]  I need to find out what that's supposed to be. Ah, lockout.
[01:36:57.260 --> 01:36:58.840]  And would you call that
[01:36:58.840 --> 01:37:03.220]  HP 0, HP 1, or just HP?
[01:37:04.080 --> 01:37:06.220]  Whatever this pro web is called.
[01:37:08.100 --> 01:37:10.680]  I'll just do HP, it's fine. Oh,
[01:37:10.820 --> 01:37:13.100]  it disappeared. That was really weird.
[01:37:14.440 --> 01:37:17.580]  It might not like it because it's already being used.
[01:37:20.400 --> 01:37:23.060]  Where else would it be used? Used in a
[01:37:23.060 --> 01:37:27.830]  program or something? Ah.
[01:37:28.470 --> 01:37:33.040]  It's on panel 1000, right? Yeah, it shouldn't
[01:37:33.040 --> 01:37:37.160]  conflict with anything else unless there is something else on the same device
[01:37:37.160 --> 01:37:40.340]  that's using that as a descriptor.
[01:37:40.940 --> 01:37:43.020]  I don't see it.
[01:37:47.590 --> 01:38:00.280]  Binary. It seems to be fine with that.
[01:38:03.240 --> 01:38:04.820]  I don't know. That's really weird.
[01:38:06.380 --> 01:38:10.740]  It's probably fine. Whatever. Okay, so all we need to do
[01:38:11.440 --> 01:38:13.320]  is do a periodic
[01:38:13.320 --> 01:38:17.460]  write or just a write to those controllers.
[01:38:18.420 --> 01:38:21.020]  So, write HP lockout.
[01:38:28.180 --> 01:38:30.760]  Oh, maybe it didn't like the fact that I put that in there without
[01:38:30.760 --> 01:38:34.760]  also changing the name or the type.
[01:38:36.620 --> 01:38:39.000]  Ah, something else is already using 7. Ah, fine.
[01:38:39.020 --> 01:38:44.600]  I'll use 17. Yeah, I'll do that.
[01:38:49.380 --> 01:38:50.020]  Empty.
[01:38:50.020 --> 01:38:52.580]  Don't. Do not.
[01:38:53.890 --> 01:38:55.700]  Not being used.
[01:39:02.150 --> 01:39:05.550]  Alright. Try this again.
[01:39:08.530 --> 01:39:09.790]  HP lockout.
[01:39:18.650 --> 01:39:19.950]  That's really weird.
[01:39:28.460 --> 01:39:29.020]  17.
[01:39:37.500 --> 01:39:38.040]  17.
[01:39:50.870 --> 01:39:52.530]  I've never seen that done before.
[01:39:54.970 --> 01:39:58.450]  That's super weird. Maybe when I pasted it in earlier
[01:39:58.450 --> 01:40:01.650]  something funny happened. Whatever.
[01:40:19.490 --> 01:40:20.570]  Yep, okay.
[01:40:22.810 --> 01:40:26.770]  Should work here now. I'm going to try one more time
[01:40:26.770 --> 01:40:29.210]  and if this doesn't work, it's not a fluke.
[01:40:31.050 --> 01:40:33.450]  No, it's done this to me before and I
[01:40:33.450 --> 01:40:37.190]  forget why it does that. It's probably our connection type.
[01:40:37.230 --> 01:40:40.830]  It's probably because we're connected back and it's a RCP. There's some weird stuff
[01:40:40.830 --> 01:40:42.010]  that has to do with compatibility.
[01:40:44.730 --> 01:40:48.630]  And object, binary object, specific object,
[01:40:48.730 --> 01:40:55.740]  17, object name. Well, luckily
[01:40:55.740 --> 01:40:59.540]  it's not that painful. Just sort of a little bit annoying.
[01:41:37.180 --> 01:41:37.820]  Oh.
[01:41:39.460 --> 01:41:40.840]  Trying to zone out.
[01:41:52.080 --> 01:41:54.620]  Okay, they all have a binary
[01:41:54.620 --> 01:41:58.500]  value that we can write to from
[01:41:58.500 --> 01:42:06.530]  over here. So it's pretty straightforward.
[01:42:07.990 --> 01:42:11.190]  2000. There's two ways you can do it. You can either do
[01:42:11.190 --> 01:42:13.970]  a write command or you can just do 2000.
[01:42:17.690 --> 01:42:18.990]  We can also
[01:42:18.990 --> 01:42:22.170]  put it between a statement that checks
[01:42:22.170 --> 01:42:25.570]  to see if anything is updated so we don't keep slamming it with writes.
[01:42:26.110 --> 01:42:28.850]  So for example, I can go if
[01:42:31.190 --> 01:42:33.470]  AV17, or BV17
[01:42:35.510 --> 01:42:37.850]  not equal to
[01:42:38.870 --> 01:42:41.710]  BV7, which I think is what ours is.
[01:42:43.130 --> 01:42:44.530]  Yep.
[01:42:48.380 --> 01:42:50.560]  Then write
[01:42:51.380 --> 01:42:54.640]  2000 BV17 equals
[01:42:55.460 --> 01:43:01.540]  BV7. Now
[01:43:01.540 --> 01:43:03.760]  it's cumbersome, but
[01:43:03.760 --> 01:43:04.480]  doable.
[01:43:21.450 --> 01:43:25.210]  Four, five,
[01:43:25.210 --> 01:43:28.970]  six, seven, eight, nine.
[01:43:31.850 --> 01:43:32.890]  All right.
[01:43:39.590 --> 01:43:42.430]  We'll look at this in two years and go, why did I do that?
[01:43:43.670 --> 01:43:44.490]  Something like that, yep.
[01:43:46.790 --> 01:43:50.830]  Now part of the problem is because of this particular
[01:43:50.830 --> 01:43:54.750]  setup, we probably don't want to do lockout and
[01:43:54.750 --> 01:43:56.390]  just a test to see if it works.
[01:43:58.650 --> 01:44:00.630]  If it's okay, then
[01:44:00.630 --> 01:44:04.750]  yeah, we can go ahead and test it. But I feel like if I do that, something bad is going to happen.
[01:44:08.380 --> 01:44:10.600]  Because if I do that, it'll shut everything off.
[01:44:12.040 --> 01:44:13.120]  Right? To test it?
[01:44:14.480 --> 01:44:18.760]  I guess I could try it on one without... yeah, I think I could try it with one
[01:44:18.760 --> 01:44:21.620]  without. So is there one I could try it with?
[01:44:24.500 --> 01:44:26.540]  Honestly, pick any of them. Try
[01:44:26.540 --> 01:44:30.680]  one, because I think one is probably in the basement. Heat pump one, which is
[01:44:30.680 --> 01:44:31.240]  two thousand.
[01:44:32.440 --> 01:44:38.460]  Right. Well, first I'm going to do this.
[01:44:38.580 --> 01:44:41.220]  Make sure I can actually read it.
[01:44:48.650 --> 01:44:50.010]  It's not going to be that variable.
[01:44:50.110 --> 01:44:53.650]  It's going to be something else. Because I need it to be something that's true.
[01:44:54.130 --> 01:44:56.990]  If it's false, then how does it work?
[01:44:59.730 --> 01:45:00.210]  Everything's off.
[01:45:01.390 --> 01:45:04.390]  Empty, not being used. Perfect. Use that.
[01:45:08.590 --> 01:45:09.010]  Alright.
[01:45:12.410 --> 01:45:15.170]  2000BV7. So if this is working,
[01:45:15.650 --> 01:45:17.770]  then that should come up as one.
[01:45:22.370 --> 01:45:24.750]  No, it's never going to go that far in the program.
[01:45:27.110 --> 01:45:30.010]  No, I put the end at the end, so it should be fine.
[01:45:36.370 --> 01:45:37.250]  Um, number...
[01:45:37.250 --> 01:45:40.310]  Should be getting that. When it melts over top, it gets it.
[01:45:46.930 --> 01:45:47.370]  Um...
[01:45:49.670 --> 01:45:50.550]  Let's see.
[01:46:06.670 --> 01:46:09.110]  Alright. I didn't do what I
[01:46:09.110 --> 01:46:15.930]  want. Let me try doing this. Just want to see
[01:46:15.930 --> 01:46:19.370]  what I've got at the moment. That's currently set to off. Okay.
[01:46:25.920 --> 01:46:29.180]  There we go. That actually did set it.
[01:46:29.620 --> 01:46:32.900]  Okay. What happens if I set this back? So here's the big question for me.
[01:46:32.920 --> 01:46:36.240]  What happens if I set this back to being off again?
[01:46:42.900 --> 01:46:45.620]  So here's the problem with not doing a write
[01:46:45.620 --> 01:46:49.420]  command. When you do a write command, it keeps sending
[01:46:49.420 --> 01:46:53.580]  whatever it is. When you just do an regular equals, it only does a change of value.
[01:46:53.600 --> 01:46:57.480]  Because this one here never changed. And these ones here
[01:46:57.480 --> 01:47:01.580]  never get the message. So that's why I want to do the write command. But I didn't
[01:47:01.580 --> 01:47:05.600]  want to keep writing all the time. That seems unnecessary.
[01:47:06.660 --> 01:47:08.920]  I can do that. It's fine.
[01:47:11.460 --> 01:47:13.500]  But yeah, it means that I
[01:47:13.500 --> 01:47:17.740]  can't use this because the initial read doesn't seem to be working.
[01:47:20.500 --> 01:47:21.060]  So...
[01:47:22.260 --> 01:47:25.480]  Yeah, I'll just do write, I guess, and add an interval
[01:47:25.480 --> 01:47:26.100]  at the beginning.
[01:47:30.700 --> 01:47:33.220]  So I can make it write
[01:47:33.220 --> 01:47:35.600]  once every 30 seconds.
[01:47:38.560 --> 01:47:40.060]  Assuming it's fast enough.
[01:47:45.330 --> 01:47:48.510]  I don't understand how it's reading task line 20 if you had end there though.
[01:47:48.870 --> 01:47:50.910]  It wasn't.
[01:47:57.640 --> 01:47:59.820]  If not, interval
[01:48:08.490 --> 01:48:09.450]  All right.
[01:48:12.590 --> 01:48:13.890]  That'll do it.
[01:48:16.330 --> 01:48:20.830]  All right. So now the last thing is on each of these here, the programming for comp
[01:48:20.830 --> 01:48:24.710]  control is going to be referring to
[01:48:24.710 --> 01:48:28.790]  one bear seven, like this. So what we should be able to do is a
[01:48:28.790 --> 01:48:32.690]  one bear seven and replace it with a one thousand
[01:48:32.690 --> 01:48:36.270]  a v... not one thousand, sorry. This will be a var
[01:48:36.270 --> 01:48:38.310]  17. Right?
[01:48:51.940 --> 01:48:53.800]  Programs... oh, I cleared it out.
[01:48:54.720 --> 01:48:57.760]  Well, I can just do var 17
[01:48:57.760 --> 01:49:00.040]  like that.
[01:49:10.390 --> 01:49:12.230]  That's a faster way to do this.
[01:49:16.090 --> 01:49:18.070]  A star program
[01:49:20.410 --> 01:49:20.850]  three.
[01:49:27.540 --> 01:49:39.060]  A little faster. The other thing I don't
[01:49:39.060 --> 01:49:43.060]  know is if they can talk to each other. I'm assuming they can, because they're
[01:49:43.060 --> 01:49:46.300]  kind of local on the same network, but
[01:49:46.860 --> 01:50:04.510]  something to be aware of. Well, if we have issues and we have
[01:50:04.510 --> 01:50:08.150]  to go back to version seven, I have to go to site and send that firmware?
[01:50:09.830 --> 01:50:11.750]  Yeah, you would have to go to site.
[01:50:13.850 --> 01:50:15.850]  Yeah, to do all the
[01:50:15.850 --> 01:50:16.410]  things.
[01:50:19.590 --> 01:50:23.710]  Now, I don't think you'll have any problem. I already tested the communication, so
[01:50:23.710 --> 01:50:27.530]  I know the communication is going to work between them. Get the right command
[01:50:27.530 --> 01:50:29.350]  and that worked.
[01:50:36.140 --> 01:50:37.320]  That looks good.
[01:50:46.080 --> 01:50:46.620]  Um...
[01:50:46.620 --> 01:50:48.680]  Did I check? Actually, there's one thing
[01:50:48.680 --> 01:50:55.160]  I don't remember if I checked, which is
[01:50:55.160 --> 01:50:59.340]  I know I tested the regular write. Did I ever test the write write command?
[01:51:01.060 --> 01:51:03.420]  If that makes sense. Test write
[01:51:03.420 --> 01:51:09.650]  command. And write
[01:51:12.950 --> 01:51:13.490]  2000BV7
[01:51:13.490 --> 01:51:17.830]  equals one. Yep.
[01:51:20.150 --> 01:51:21.670]  I want to make sure that works.
[01:51:23.770 --> 01:51:25.490]  Yep, that worked. And I want to make sure
[01:51:25.490 --> 01:51:29.730]  after I switch this back to off on this side, it will continue to
[01:51:29.730 --> 01:51:33.610]  write to it. Because a concern
[01:51:33.610 --> 01:51:37.330]  that can happen, from my point of view, is
[01:51:37.330 --> 01:51:41.490]  if something were to lock it out,
[01:51:42.110 --> 01:51:44.310]  I want it to write to it again.
[01:51:45.710 --> 01:51:47.550]  There it is. Yep. See?
[01:51:49.430 --> 01:51:53.610]  Yep. So, perfect. That's exactly
[01:51:53.610 --> 01:52:03.220]  what I want to see. But yeah, the write
[01:52:03.220 --> 01:52:07.300]  is working just fine. The last question is whether or not
[01:52:07.300 --> 01:52:11.500]  these guys can talk to each other. If they can talk to each other, then I think you're golden.
[01:52:12.700 --> 01:52:15.260]  Aside from the... what's it called?
[01:52:18.980 --> 01:52:20.060]  Test program
[01:52:20.060 --> 01:52:23.020]  write. The
[01:52:23.640 --> 01:52:24.920]  system group links.
[01:52:27.740 --> 01:52:31.420]  Just a bit of a minor thing. Alright, so I'm going to try
[01:52:31.420 --> 01:52:35.520]  and read from 2000BV10 to
[01:52:37.540 --> 01:52:38.080]  VAR7.
[01:52:51.460 --> 01:52:52.460]  Oh, I have it set to.
[01:53:00.120 --> 01:53:01.360]  It should be on.
[01:53:06.690 --> 01:53:09.050]  Yep. Okay. It did actually finally read from it.
[01:53:09.050 --> 01:53:12.930]  So that part is good. Now I'm going to try doing the opposite. So I'm going to say
[01:53:14.130 --> 01:53:15.690]  VAR7 is equal to zero.
[01:53:22.240 --> 01:53:23.260]  Did I do something wrong?
[01:53:27.000 --> 01:53:29.740]  VAR7 is equal to zero.
[01:53:38.110 --> 01:53:41.250]  Syntax error? Right.
[01:53:44.250 --> 01:53:45.310]  Another syntax error?
[01:53:46.090 --> 01:53:46.470]  What?
[01:53:56.750 --> 01:54:00.950]  Okay, how about stop to VAR7?
[01:54:04.530 --> 01:54:06.930]  I'm guessing this is a weird studio quirk?
[01:54:14.550 --> 01:54:14.790]  Huh.
[01:54:17.630 --> 01:54:20.250]  I'm just covering all sorts of things, aren't I?
[01:54:23.050 --> 01:54:24.510]  Well, anyways.
[01:54:26.590 --> 01:54:28.370]  Rem. This does nothing
[01:54:28.370 --> 01:54:34.170]  anymore. Alright.
[01:54:39.570 --> 01:54:41.910]  I'm assuming the read is working. Is there another
[01:54:41.910 --> 01:54:45.910]  way that we could confirm that that's working based on the programming without me
[01:54:45.910 --> 01:54:48.550]  having to resend something or opening up Studio 2?
[01:54:50.350 --> 01:54:52.510]  I guess you could open up Studio 2.
[01:54:54.550 --> 01:54:56.230]  Yeah, it looks like it's installed.
[01:55:02.370 --> 01:55:05.110]  Are they even referencing each other? They might not be
[01:55:05.110 --> 01:55:06.190]  referencing each other.
[01:55:07.210 --> 01:55:11.410]  Ooh, I think three of them do actually. I think three of them work together.
[01:55:12.110 --> 01:55:14.170]  I don't remember which three it was.
[01:55:16.250 --> 01:55:19.490]  You mentioned it. Oh, right. Yeah, you're right.
[01:55:22.250 --> 01:55:24.390]  It's probably this one.
[01:55:25.310 --> 01:55:28.490]  Yep, there we go. So, it's taking the
[01:55:28.490 --> 01:55:32.090]  average of these values. Okay, that's a pretty good test here.
[01:55:32.930 --> 01:55:35.510]  Its average is 224
[01:55:37.130 --> 01:55:40.270]  and 223 or 23...
[01:55:41.470 --> 01:55:43.790]  It looks like it's taking the average.
